"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1101 MACRORREGIONAL II (CACOAL)",84241,82192,80367,78700,77087,75519,75111,73966,72197,70308,68491,66213,64297,62817,61397,59898,58538,57674,57111,56935,57127
"1102 MACRORREGIAO I - PORTO VELHO",80252,80897,81586,82312,83076,83820,84718,84688,83944,82978,82074,80413,79181,78462,77891,77235,76497,76380,76664,77485,78811
"1201 MACRO UNICA - AC",77215,79203,81435,83755,85927,87789,89568,91071,92234,92785,93501,93418,92835,92365,91870,89829,87963,86896,85208,84300,84864
"1302 OESTE",67633,67290,67265,67262,66912,65996,66652,66525,65943,65171,64991,64121,63774,63831,64239,64087,63733,63584,63438,63498,63877
"1303 LESTE",64927,65742,66811,67866,68563,68680,69573,69644,69241,68612,68603,67432,66853,66694,66920,66562,66839,67314,67847,68595,69624
"1304 CENTRAL",238950,245727,253327,260914,267030,270842,271289,268529,263987,258755,255626,255347,257336,260987,266199,269110,268682,269017,269585,270894,273467
"1401 MACRO-RORAIMA",42613,43959,45548,47195,48618,49655,50339,50341,50156,50377,50303,49830,50119,50663,50893,51490,52265,52953,53732,54614,55499
"1509 MACRORREGIONAL IV",151446,155617,160078,164572,168558,171658,173581,174522,175203,175921,176680,177209,177925,178382,178180,176988,174422,171707,168853,167108,166942
"1510 MACRORREGIONAL III",147151,147336,147919,148483,148601,147955,148196,147652,146892,146230,145710,144362,143172,141783,139860,137167,134414,131568,128577,126443,125501
"1511 MACRORREGIONAL II",187628,188564,189889,191253,192027,191881,192109,191342,190239,189296,188477,186547,184814,182843,180165,176515,173542,170407,167115,164899,164240
"1512 MACRORREGIONAL I",314587,318618,323392,328189,331901,333925,331279,326833,321869,317073,312511,311288,310380,309047,306559,302361,295817,289052,282009,276818,274207
"1601 MACRO UNICA - AP",66184,68733,71219,73543,75567,77195,79134,80456,81551,82127,81886,80762,79904,79228,79369,80104,80368,80169,80117,80265,80576
"1701 MACRORREGIAO NORTE",65355,65507,65754,65948,65921,65554,64891,63978,63182,62346,61838,61624,61126,60266,59490,58384,57401,56835,56292,55924,56022
"1702 MACRORREGIAO CENTRO-SUL",77231,78011,78855,79640,80123,80196,79308,78045,76893,75780,74931,75183,75058,74451,73951,73113,71763,70906,70111,69551,69597
"2109 MACRORREGIAO SUL",137692,138303,139555,140939,141831,141801,139886,136475,134579,133376,132571,133068,133931,132529,129347,125392,121828,118161,114270,112020,111049
