"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2110 MACRORREGIAO NORTE",407748,411125,416152,421852,426114,427632,421888,411412,405395,401534,398773,401620,405532,402551,394218,383464,372659,361450,349605,342807,339906
"2111 MACRORREGIAO LESTE",178992,178507,178928,179497,179349,178061,175423,170917,168316,166620,165514,166278,167429,165816,161976,157104,152231,147190,141908,138655,136954
"2207 SEMI-ARIDO",59550,58977,58710,58657,58541,58189,58255,57654,56321,54825,53650,51794,50097,48745,47277,45419,44228,43327,42405,41810,41640
"2208 MEIO NORTE",126108,126170,126842,127876,128733,129138,128759,126874,123323,119459,116218,113984,112019,110839,109349,107022,103864,101408,98918,97220,96489
"2209 LITORAL",73030,72127,71659,71370,70999,70368,70543,69885,68350,66614,65241,63170,61229,59750,58063,55937,54576,53578,52556,51935,51853
"2210 CERRADOS",64241,63563,63218,63038,62831,62434,62848,62577,61524,60260,59366,57466,55695,54355,52814,50865,49608,48653,47685,47101,46974
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",53713,53289,52953,52532,51754,50520,49239,47626,45775,43950,42581,41527,40609,39878,39275,38469,37721,37074,36444,35970,35879
"2307 4� MACRO - SERTAO CENTRAL",70472,70197,70043,69773,69039,67685,66009,63836,61391,58946,57132,55424,53900,52632,51519,50141,49407,48806,48224,47839,47974
"2308 3� MACRO - CARIRI",148578,148292,148263,147995,146760,144106,141264,137331,132746,128211,125041,122622,120592,119134,118042,116334,114222,112415,110655,109345,109206
"2309 2� MACRO - SOBRAL",179229,179432,179912,180137,179134,176510,171879,166104,159532,153020,148095,143957,140264,137277,134685,131404,129660,128257,126906,126093,126632
"2310 1� MACRO - FORTALEZA",414322,418114,422423,425928,426534,422872,412839,399687,384624,369757,358690,353679,349752,347506,346321,343493,337438,332292,327316,323731,323597
"2401 MACRORREGIAO II",78760,77664,76918,76302,75435,74146,73727,72841,71879,70972,70685,70062,69310,68649,68211,67135,65795,65021,64102,63161,62844
"2402 MACRORREGIAO I",223995,223497,223956,224772,224913,223725,219913,214635,209121,203878,200341,198513,196372,194439,193117,190035,187027,185614,183764,181915,181817
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",92089,90901,89724,88567,87330,85971,85359,84425,83084,81649,80431,78871,77118,75554,73947,71846,69714,67285,64947,63894,63926
"2502 MACRORREGIAO II - CAMPINA GRANDE",108309,107293,106367,105398,104304,103109,102082,100584,98702,96614,94775,93197,91354,89713,88061,85832,83426,80670,78021,76909,77128
"2503 MACRORREGIAO I - JOAO PESSOA",171268,171116,170935,170687,170271,169557,167963,165630,162564,159155,156151,154179,151722,149582,147574,144699,140894,136466,132269,130663,131297
"2605 VALE DO S.FRANCISCO E ARARIPE",90855,92380,94288,96324,98077,99197,99045,97912,96459,95054,93834,92736,91967,91358,90818,89943,89044,88842,88554,88269,88784
"2606 SERTAO",81086,81018,81297,81688,81826,81453,81736,81183,80395,79606,78976,77631,76522,75522,74605,73413,72536,72224,71772,71378,71592
"2607 METROPOLITANA",493578,492258,493156,494835,494804,491866,487363,478052,467295,456708,447049,439222,432834,427221,421970,415169,407987,404075,399598,395250,394534
"2608 AGRESTE",172968,173956,175694,177642,179086,179428,178378,175575,172217,168905,165929,163258,161107,159199,157476,155149,153388,152886,152142,151411,152072
"2703 2� MACRORREGIAO DE SAUDE",119639,120037,120836,121706,122113,121772,120676,118745,116049,112720,109451,106770,103831,101348,99122,96566,94498,92822,90971,89413,88415
"2704 1� MACRORREGIAO DE SAUDE",213720,216553,220123,223755,226450,227575,226907,224583,220743,215673,210675,206325,201381,197397,193879,189728,185449,181938,178085,174812,172684
"2801 MACRO UNICA",204478,205851,208151,210521,211596,210586,208051,202462,196377,190714,186393,183654,182544,181542,180676,178817,176398,174570,172596,171141,171179
"2910 SUL (NBS - ILHEUS)",193239,188528,184407,180428,176187,171412,168195,163990,159629,155214,150971,146540,142330,138120,134069,129817,126513,123669,120455,117357,115280
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",184482,180757,177467,174238,170668,166469,164268,161018,157603,154111,150705,146716,142944,139149,135452,131600,128590,126001,123091,120286,118500
"2912 OESTE (NBS - BARREIRAS)",96811,96443,96184,95892,95330,94368,93327,91618,89834,87963,86089,84735,83447,82113,80820,79453,78361,77535,76506,75521,75164
"2913 NORTE - (NRS - JUAZEIRO)",108391,108510,108794,109093,109154,108724,107759,106042,104245,102358,100472,98480,96580,94628,92736,90752,89252,88063,86615,85232,84567
"2914 NORDESTE (NRS - ALAGOINHAS)",90018,89679,89523,89381,88997,88331,86504,84132,81669,79123,76617,74494,72456,70378,68352,66254,65279,64541,63620,62746,62401
"2915 LESTE - (NRS - SALVADOR)",365058,369269,373894,378474,381933,383630,375699,365040,354093,342887,331690,328753,326194,323377,320776,317931,311714,306625,300751,295087,291904
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",77852,78533,79297,80046,80550,80693,80214,79173,78061,76875,75691,74330,73014,71645,70333,68957,67967,67209,66290,65399,65050
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",221691,220534,219844,219189,217962,215909,212797,208251,203544,198613,193771,188819,184133,179287,174605,169711,166766,164462,161653,158997,157659
"2918 CENTRO - NORTE (NRS - JACOBINA)",87018,85985,85138,84303,83290,81970,81010,79486,77929,76307,74707,73073,71492,69892,68350,66726,65491,64489,63274,62130,61509
"3101 SUL",227670,226750,226218,225601,224035,221137,216648,210228,203103,196103,189783,185203,181246,177712,174442,171319,168697,167599,166931,167149,168464
"3102 CENTRO SUL",65981,65202,64565,63878,62944,61632,60419,58636,56684,54763,53037,51609,50356,49227,48176,47155,46359,45981,45731,45717,45997
"3103 CENTRO",514325,517753,521788,525501,527015,525159,513825,497620,479858,462477,446709,436233,427308,419359,412044,405048,399309,397160,395993,397021,400649
"3104 JEQUITINHONHA",48175,47119,46218,45312,44217,42906,42018,40798,39436,38101,36911,35237,33687,32215,30784,29379,29003,28895,28858,28967,29276
"3105 OESTE",95363,95501,95709,95816,95569,94661,93473,91386,88997,86667,84628,82785,81218,79840,78587,77405,76399,76086,75957,76234,77010
"3106 LESTE",67482,66877,66484,66075,65419,64422,63254,61586,59732,57903,56277,54386,52686,51107,49603,48129,47334,46963,46716,46711,47014
"3107 SUDESTE",131990,131172,130612,129971,128799,126845,124341,120688,116651,112687,109130,106422,104061,101953,99980,98107,96444,95678,95133,95106,95697
"3108 NORTE",175671,173252,171225,169083,166258,162538,159953,155944,151497,147130,143282,138611,134423,130538,126841,123244,121831,121521,121494,122133,123569
"3109 NOROESTE",63791,63150,62581,61987,61124,59926,59186,57903,56415,54992,53744,52047,50533,49136,47807,46510,45944,45797,45761,45968,46482
"3110 LESTE DO SUL",63782,63185,62745,62274,61594,60551,59593,58167,56529,54924,53522,51705,50065,48539,47091,45670,44911,44556,44322,44321,44607
"3111 NORDESTE",90460,88993,87783,86519,84951,82993,82189,80707,78984,77275,75866,72869,70102,67500,64978,62480,61591,61272,61110,61240,61778
"3112 TRIANGULO DO SUL",53683,53766,53886,53934,53725,53176,52858,52021,51013,50020,49198,48959,48873,48902,49008,49160,48530,48331,48263,48446,48949
"3113 TRIANGULO DO NORTE",95642,95611,95541,95421,94895,93584,92661,90701,88430,86256,84375,83321,82524,81877,81394,81011,79752,79197,78818,78885,79463
"3114 VALE DO ACO",71214,71204,71303,71356,71146,70507,69245,67322,65241,63174,61330,59855,58579,57444,56393,55387,54506,54113,53863,53905,54289
"3205 SUL",57399,56514,56027,55725,55333,54638,54155,53187,52078,50977,49917,48559,47399,46391,45472,44671,44558,44715,44904,45271,45823
"3206 NORTE",37375,36924,36727,36665,36518,36192,36157,35784,35330,34883,34465,33564,32793,32138,31545,31030,31117,31394,31682,32100,32657
"3207 METROPOLITANA",157390,157800,159280,161324,163017,163826,162994,160627,157888,155254,152713,151034,149936,149387,149217,149361,149795,151135,152587,154639,157323
"3208 CENTRAL",49779,49426,49395,49529,49572,49341,49404,49000,48485,48008,47538,46727,46095,45631,45265,45011,45243,45747,46281,47003,47916
"3312 MACRORREGIAO I",1243891,1260140,1281938,1303080,1313911,1308697,1288134,1250735,1208763,1172507,1142673,1114390,1096176,1081567,1067956,1058561,1056661,1061337,1068887,1081738,1101069
"3518 RRAS9",123867,123727,124364,125229,125495,124658,124552,123046,120954,119073,117763,115653,114219,113315,112542,111746,111510,111989,112501,113119,114246
"3519 RRAS8",188707,189421,191291,193524,194832,194435,193684,190804,187025,183586,181020,176850,173728,171386,169270,167092,167444,168852,170318,171930,174343
"3520 RRAS7",158514,159903,162306,165017,166978,167461,167363,165412,162651,160163,158432,155186,152863,151225,149768,148229,148249,149204,150220,151338,153169
"3521 RRAS6",842765,852993,868699,886337,899845,905431,899286,883132,862695,843881,829201,812265,800196,791719,784326,776648,772911,774259,775886,778181,784190
"3522 RRAS5",147727,149506,152231,155282,157616,158557,157315,154343,150660,147281,144632,141660,139543,138054,136759,135419,135340,136158,137019,138002,139644
"3523 RRAS4",77130,79014,81351,83826,85921,87262,87242,86245,84854,83653,82846,81600,80845,80452,80172,79883,80358,81339,82348,83422,84888
"3524 RRAS3",43673,44576,45742,46981,48000,48599,48568,47993,47195,46512,46041,45247,44721,44396,44138,43873,44245,44897,45563,46265,47185
"3525 RRAS2",233241,237088,242355,248161,252745,255108,254333,250792,246052,241799,238746,233258,229172,226083,223333,220520,221356,223583,225920,228438,232021
"3526 RRAS17",183905,184242,185693,187477,188380,187661,187296,184843,181505,178548,176421,173396,171405,170182,169185,168148,168111,169146,170243,171476,173507
"3527 RRAS16",81779,82373,83431,84606,85397,85434,85851,85289,84330,83533,83127,82202,81765,81696,81741,81774,81982,82696,83441,84251,85449
"3528 RRAS15",235702,236076,237826,240046,241098,239994,239690,236655,232476,228724,226091,223336,221892,221411,221280,221084,221104,222529,224020,225698,228448
"3529 RRAS14",108086,108259,109056,110072,110560,110085,109840,108376,106380,104591,103296,101787,100882,100429,100127,99784,99710,100274,100880,101565,102725
"3530 RRAS13",293639,292994,294072,295673,295860,293460,293863,290967,286676,282943,280527,276607,274323,273280,272611,271882,271668,273198,274808,276641,279786
"3531 RRAS12",156463,154737,153916,153363,152069,149459,149204,147285,144612,142236,140533,139198,138688,138801,139084,139354,138670,138879,139140,139502,140527
"3532 RRAS11",60742,59856,59365,58945,58276,57100,56819,55911,54729,53644,52811,51545,50583,49853,49189,48501,48172,48148,48146,48177,48444
"3533 RRAS10",86199,85348,85062,84938,84386,83117,82493,80954,79022,77229,75796,74267,73182,72411,71740,71041,70558,70545,70550,70614,71008
"3534 RRAS1",199236,199684,201409,203550,204737,204124,202609,198832,194122,189797,186386,183247,181204,179979,178995,177963,177061,177321,177652,178135,179462
"4105 MACRORREGIONAL NORTE",166700,165640,164410,162737,160407,157213,154592,150492,145641,140670,136812,133451,130687,128718,127545,126091,124625,124067,124236,125078,126317
"4106 MACRORREGIONAL NOROESTE",153034,151580,149921,147833,145099,141619,139301,135651,131280,126836,123386,120797,118777,117467,116908,116108,114747,114235,114394,115145,116297
"4107 MACRORREGIONAL LESTE",448851,453846,458000,460931,461728,459895,453724,443190,430329,417260,407442,398101,390501,385320,382594,379006,377252,378192,381337,386564,393178
"4108 MACRORREGIAO OESTE",183647,181625,179373,176633,173116,168798,165578,160850,155327,149681,145210,141285,138032,135590,134025,132123,130733,130293,130624,131645,133140
"4210 SUL",79278,78343,77493,76505,75147,73201,71430,69012,66509,64510,63269,62488,62038,61852,61690,61322,61084,61453,61942,62559,63632
"4211 PLANALTO NORTE E NORDESTE",102697,103237,103853,104341,104259,103389,101478,98646,95667,93393,92236,91393,91041,91051,91129,90881,91234,92494,93923,95534,97854
"4212 MEIO OESTE E SERRA CATARINENSE",86642,85900,85370,84760,83689,81955,79470,76315,73061,70339,68434,66424,64784,63394,62038,60430,59981,60142,60419,60802,61639
"4213 GRANDE OESTE",71419,70231,69218,68115,66627,64645,62613,60074,57428,55220,53663,52318,51262,50411,49593,48588,48390,48673,49055,49516,50351
"4214 GRANDE FLORIANOPOLIS",75237,75721,76238,76654,76647,76052,74345,71938,69481,67538,66361,66020,66033,66307,66614,66721,67036,68002,69113,70372,72115
"4215 FOZ DO RIO ITAJAI",39336,40386,41437,42405,43156,43577,43189,42369,41504,40953,40888,41078,41484,42071,42677,43148,43833,44936,46130,47406,49039
"4216 ALTO VALE DO ITAJAI",72588,72776,72974,73059,72735,71865,70581,68624,66594,65077,64312,64113,64262,64656,65103,65321,65471,66271,67187,68259,69828
"4308 VALES",68967,68422,67896,67241,66344,65132,64549,63116,61338,59693,58369,56515,54949,53612,52351,51004,50279,50367,50821,51434,52428
"4309 SUL",86792,86742,86760,86707,86317,85544,84303,82042,79295,76755,74618,71930,69608,67597,65623,63540,62504,62488,62943,63604,64753
"4310 SERRA",79072,79808,80314,80582,80530,80082,79652,78088,76051,74247,72812,71523,70562,69936,69440,68835,68245,68717,69699,70862,72561
"4310 SERRA",111787,109658,107654,105569,103110,100210,98659,95939,92643,89632,87057,83756,80858,78335,75873,73313,71974,71793,72121,72704,73789
"4312 MISSIONEIRA",80656,78700,76879,75020,72922,70541,69077,66870,64256,61817,59681,57268,55130,53250,51399,49470,48296,47919,47880,48010,48480
"4313 METROPOLITANA",385065,388137,390859,392825,393394,391902,387712,378351,366770,356249,347582,337089,328281,320929,313988,306517,302790,303983,307363,311721,318367
"4314 CENTRO-OESTE",95317,94384,93582,92715,91549,90000,88330,85631,82437,79444,76880,74032,71532,69340,67218,64957,63635,63381,63583,63993,64882
"5005 TRES LAGOAS",21957,21987,21974,21909,21768,21557,21174,20691,20303,20056,19900,19826,19714,19630,19609,19552,19657,20008,20305,20574,20958
"5006 DOURADOS",71493,71529,71471,71222,70757,70032,69325,68301,67578,67284,67325,66923,66384,65884,65606,65210,65520,66678,67667,68533,69776
"5007 CORUMBA",13304,13357,13416,13426,13415,13322,13036,12657,12370,12141,11991,11754,11465,11211,10985,10732,10786,10977,11135,11279,11485
"5008 CAMPO GRANDE",119400,119658,119665,119437,118787,117734,115445,112633,110342,108745,107683,107586,107243,107032,107162,107104,107489,109249,110700,111958,113880
"5101 MACRORREGIAO SUL",38274,38429,38575,38679,38752,38667,38475,38105,37844,37820,38212,38779,39154,39395,39619,39432,38718,38441,38537,38942,39775
"5102 MACRORREGIAO OESTE",30634,30316,30044,29728,29327,28803,28467,28033,27677,27506,27640,27516,27232,26859,26445,25757,25147,24800,24692,24783,25153
"5103 MACRORREGIAO NORTE",57914,58752,59618,60462,61131,61614,60776,59722,58794,58310,58448,58821,58922,58813,58675,57959,57206,57077,57514,58396,59951
"5104 MACRORREGIAO LESTE",28466,28574,28690,28788,28803,28733,28767,28688,28671,28866,29366,29271,29021,28684,28311,27652,27196,27032,27119,27424,28041
"5105 MACRORREGIAO CENTRO-NORTE",122205,122324,122509,122633,122447,121839,120233,118199,116492,115597,115922,117141,117756,117956,118038,116930,114538,113412,113396,114264,116418
"5206 MACRORREGIAO SUDOESTE",45864,45956,46159,46384,46400,46135,46155,46150,46111,46020,46031,46437,46619,46856,47287,47854,48254,48937,49642,50620,51821
"5207 MACRORREGIAO NORDESTE",104485,106985,109763,112545,114914,116535,115667,114723,113719,112630,111808,110562,108775,107129,105926,105011,106603,108808,111065,113952,117341
"5208 MACRORREGIAO CENTRO-OESTE",163231,163567,164364,165138,165293,164388,161338,158190,154921,151526,148473,148787,148364,148122,148489,149271,149327,150250,151251,153097,155595
"5209 MACRORREGIAO CENTRO-NORTE",93172,92887,92866,92839,92469,91502,90208,88860,87442,85971,84675,83415,81736,80154,78903,77845,78000,78609,79246,80335,81781
"5210 MACRORREGIAO CENTRO SUDESTE",102071,103061,104295,105581,106384,106519,105904,105216,104423,103544,102911,103096,102751,102540,102770,103298,104346,105980,107667,109962,112714
"5302 MACRORREGI�O DE BRAS�LIA",192101,197319,202683,207753,211786,214293,217147,218624,219221,219196,219231,217659,215016,211189,206582,200538,194044,189245,186683,186750,189093
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",17178487,17236227,17344613,17455701,17493252,17411841,17236768,16903256,16519470,16155250,15861292,15596670,15383719,15199369,15025876,14820519,14661148,14589483,14533962,14538211,14646319
 Fonte:,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
 2000 a 2021 � Estimativas preliminares elaboradas pelo Minist�rio da Sa�de/SVS/DASNT/CGIAE,,,,,,,,,,,,,,,,,,,,,
