"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1101 MACRORREGIONAL II (CACOAL)",81086,80372,79505,78560,77597,76710,76661,76518,76257,75804,75155,74108,72977,71750,70376,68823,68330,67115,65349,63491,61726
"1102 MACRORREGIAO I - PORTO VELHO",77149,78829,80194,81335,82445,83597,83826,83905,83796,83469,82848,84256,85633,86910,88045,88998,90032,90196,89643,88903,88262
"1201 MACRO UNICA - AC",67930,69020,69733,70226,70741,71433,72303,73374,74668,76200,77966,79882,82048,84311,86429,88239,89930,91248,92130,92314,92557
"1302 OESTE",50937,51520,51948,52284,52668,53119,53005,52956,53007,53200,53568,53957,54513,55041,55244,54976,55082,54524,53572,52476,51809
"1303 LESTE",52650,53574,54298,54915,55528,56239,56861,57546,58344,59300,60430,61248,62283,63307,63951,64057,63645,62455,60832,59034,57721
"1304 CENTRAL",231279,233670,235124,236019,236915,238226,240709,243520,246799,250752,255406,261903,269334,276723,282581,285952,288362,287314,284277,280340,278667
"1401 MACRO-RORAIMA",38322,39141,39678,40104,40681,41581,42664,43822,45047,46304,47558,48825,50264,51686,52818,53511,53840,53691,53545,53712,53438
"1509 MACRORREGIONAL IV",135648,141758,147177,152040,156571,160898,161629,162418,163356,164581,166133,170444,175158,179971,184279,187729,189141,189486,189486,189462,189491
"1510 MACRORREGIONAL III",129312,130211,130486,130282,129813,129273,129742,130317,131045,132073,133399,133979,134931,135928,136556,136510,135448,133581,131431,129320,127246
"1511 MACRORREGIONAL II",163799,167146,169708,171613,173165,174549,175193,175894,176804,178052,179745,180635,182010,183481,184418,184466,183606,181687,179373,177088,174850
"1512 MACRORREGIONAL I",310891,312695,312906,311923,310306,308425,309684,311082,312825,315156,318201,320034,322693,325456,327280,327534,327135,324788,321793,318867,315978
"1601 MACRO UNICA - AP",58152,59849,61299,62567,63769,64977,66297,67837,69635,71732,74149,75773,77451,79097,80561,81750,83308,84237,84920,85068,84379
"1701 MACRORREGIAO NORTE",61320,61930,62303,62459,62496,62404,62190,62088,62065,62161,62340,62767,63248,63658,63813,63612,62625,61366,60093,58853,57847
"1702 MACRORREGIAO CENTRO-SUL",74555,75477,76104,76501,76687,76742,76911,77208,77654,78185,78795,79694,80644,81498,82035,82125,81707,80885,80258,79545,79147
"2109 MACRORREGIAO SUL",130557,133083,134766,135534,135340,134171,132515,130904,129583,128979,129313,130187,131694,133411,134649,134973,133022,129547,127611,126404,125566
"2110 MACRORREGIAO NORTE",414020,422035,427222,429612,429023,425292,418269,411382,405399,401538,400528,403052,407405,412320,415744,416516,411137,401213,395960,393002,391347
"2111 MACRORREGIAO LESTE",175083,176166,176123,174809,172210,168457,166145,163932,162175,161345,161682,161461,162065,162943,163232,162380,159624,155025,152209,150240,148806
"2207 SEMI-ARIDO",62192,62862,63173,63035,62308,60831,59270,57719,56244,55121,54496,54483,54701,55009,55209,55168,55044,54252,52871,51320,50109
"2208 MEIO NORTE",145689,147926,149260,149415,148083,145022,140457,135798,131428,127838,125383,125624,126438,127505,128291,128524,129341,128727,126508,124036,122335
"2209 LITORAL",73224,74696,75717,76236,75958,74803,73004,71154,69460,68215,67541,67055,66872,66835,66659,66158,66018,65148,63441,61621,60190
