"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2210 CERRADOS",67198,67698,67841,67473,66418,64624,63092,61569,60190,59192,58721,58420,58401,58509,58500,58178,58192,57594,56223,54735,53633
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",53421,54182,54750,55045,54951,54470,53679,52850,52055,51421,51023,50750,50576,50369,49839,48858,47382,45548,43498,41458,39846
"2307 4� MACRO - SERTAO CENTRAL",59478,61097,62488,63569,64231,64401,64594,64760,64954,65332,66040,65591,65282,64934,64118,62748,60614,57998,55065,52187,49842
"2308 3� MACRO - CARIRI",144321,146762,148620,149734,149899,148887,147016,145089,143257,141799,140946,140369,140079,139673,138431,135825,132347,127883,122798,117694,113828
"2309 2� MACRO - SOBRAL",157662,161304,164301,166478,167552,167358,167438,167403,167473,168080,169443,168963,168892,168635,167315,164426,158599,151579,143729,135991,129665
"2310 1� MACRO - FORTALEZA",414069,424456,432989,439196,442348,442028,439073,435701,432608,430844,430836,433443,436997,440054,440517,437164,430210,420013,407828,395680,387576
"2401 MACRORREGIAO II",84004,85114,86024,86456,86330,85518,83826,81847,79691,77744,76300,75526,75126,74840,74321,73351,72718,71601,70384,69226,68645
"2402 MACRORREGIAO I",226802,231581,235420,238127,239106,238123,236084,232882,229327,226484,224947,224419,224828,225616,225732,224563,221289,216525,211503,206690,203565
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",101519,101799,101445,100402,98626,96244,93509,91190,89175,87491,86179,85120,84172,83134,81969,80658,79924,78833,77405,75871,74576
"2502 MACRORREGIAO II - CAMPINA GRANDE",112117,113488,114041,113712,112616,110602,108220,106139,104405,103030,102112,101459,100894,100230,99485,98514,97550,96189,94401,92489,90843
"2503 MACRORREGIAO I - JOAO PESSOA",180164,182862,184118,184034,182512,179571,176473,173833,171776,170372,169532,169805,169968,170233,170334,170266,169688,168457,166566,164380,162660
"2605 VALE DO S.FRANCISCO E ARARIPE",88093,90482,92527,94145,95231,95731,94254,92742,91378,90478,90180,91423,93112,94903,96419,97407,96947,95505,93840,92197,90741
"2606 SERTAO",81921,83179,84104,84654,84734,84363,82835,81292,79843,78783,78305,77862,77736,77718,77436,76652,76121,74854,73305,71810,70469
"2607 METROPOLITANA",540972,541514,539969,535993,529097,518932,509853,500649,492370,486421,483742,483865,486183,489280,490825,489354,486369,478663,469505,460598,452700
"2608 AGRESTE",173434,175924,177731,178741,178721,177597,175913,174124,172585,171935,172416,172756,173859,175231,175994,175694,174635,171806,168525,165288,162418
"2703 2� MACRORREGIAO DE SAUDE",114209,115255,115606,115349,114608,113420,111401,109880,108885,108516,108812,109268,110086,110928,111258,110757,108991,106475,103243,99457,95825
"2704 1� MACRORREGIAO DE SAUDE",220059,220856,220313,218559,215779,212142,209399,207545,206708,207025,208504,211515,215180,218823,221453,222457,222221,220503,217444,213307,209366
"2801 MACRO UNICA",205255,208091,210102,211204,211271,210243,208611,206753,205092,204292,204715,206115,208433,210817,211920,210945,208449,202917,196892,191282,187010
"2910 SUL (NBS - ILHEUS)",214964,211847,206796,200130,192687,184921,177696,171827,167085,163182,160147,157575,155338,153154,150569,147320,143861,139446,134976,130585,126391
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",207957,206405,202728,197444,191245,184516,179146,174976,171819,169609,168104,165335,162766,160195,157122,153512,151276,148211,145146,142130,139228
"2912 OESTE (NBS - BARREIRAS)",100224,101390,101460,100640,99264,97520,95631,94357,93633,93376,93532,92948,92536,92089,91378,90250,88920,87079,85195,83279,81471
"2913 NORTE - (NRS - JUAZEIRO)",111925,112854,112622,111441,109669,107554,105175,103440,102351,101757,101639,101687,101877,102081,102006,101394,100315,98565,96806,95079,93409
"2914 NORDESTE (NRS - ALAGOINHAS)",90734,91520,91389,90476,89107,87439,85698,84440,83738,83452,83540,83321,83266,83172,82886,82180,80192,77633,75020,72455,69996
"2915 LESTE - (NRS - SALVADOR)",461830,461224,455505,445840,433689,419992,407031,396525,388443,382390,377877,382709,388222,393633,397905,400518,397429,391946,386654,381260,376259
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",80444,81742,82198,81914,81142,80065,77956,76295,75119,74314,73815,74892,76112,77273,78255,78851,78030,76717,75390,74066,72819
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",242451,242713,240485,236273,230823,224695,218973,214664,211622,209674,208698,207378,206427,205511,203973,201464,198224,193689,189107,184504,180208
"2918 CENTRO - NORTE (NRS - JACOBINA)",92027,91821,90713,88866,86552,84025,81917,80344,79214,78533,78203,77262,76460,75667,74661,73280,71728,69723,67698,65650,63670
"3101 SUL",238482,239203,238941,237793,235880,233152,230635,228345,226427,225202,224625,224376,224377,224248,223171,220675,216114,209552,202432,195514,189335
"3102 CENTRO SUL",68847,68881,68748,68265,67570,66732,66132,65678,65286,65089,65128,64521,64017,63432,62584,61350,60031,58177,56164,54202,52448
"3103 CENTRO",564820,568366,569376,568147,564908,559678,549818,540412,532044,525080,519610,524231,529870,535021,538042,537727,530586,518695,505365,492529,481599
"3104 JEQUITINHONHA",47803,47586,47229,46715,46054,45301,44739,44277,43886,43616,43552,42427,41351,40267,38983,37431,36133,34524,32800,31121,29564
"3105 OESTE",100906,102459,103546,104192,104407,104304,103192,102105,101207,100562,100227,100559,101060,101455,101455,100820,100108,98490,96622,94808,93335
"3106 LESTE",72747,71487,69960,68226,66280,64160,63585,63153,62819,62630,62684,61995,61383,60718,59772,58396,56732,54522,52152,49866,47763
"3107 SUDESTE",141060,141364,141108,140322,139056,137375,135920,134620,133525,132781,132412,131739,131239,130645,129484,127524,125208,121762,118001,114317,111106
"3108 NORTE",180222,179405,177912,175749,173047,169868,168321,167005,165992,165505,165561,162562,159702,156757,153104,148463,144792,139833,134447,129205,124475
"3109 NOROESTE",63159,63478,63592,63433,63061,62502,61994,61584,61275,61158,61210,60865,60604,60312,59743,58792,57650,56021,54214,52440,50887
"3110 LESTE DO SUL",69640,68908,67952,66772,65303,63798,62561,61508,60523,59739,59169,58683,58286,57860,57114,56032,54838,53144,51304,49495,47898
"3111 NORDESTE",94220,92780,91070,89088,86810,84321,83023,81908,80943,80168,79680,78320,77069,75735,74019,71775,69667,66952,63954,61092,58455
"3112 TRIANGULO DO SUL",58658,59982,60988,61714,62209,62456,61494,60572,59718,59035,58514,58830,59249,59610,59730,59481,59441,58871,58140,57449,56967
"3113 TRIANGULO DO NORTE",100918,102984,104363,105329,105925,105972,104563,103073,101840,100706,99918,99980,100152,100300,100099,99395,98914,97615,96035,94541,93335
"3114 VALE DO ACO",80145,79401,78378,77043,75433,73589,72665,71845,71131,70616,70358,70134,69998,69823,69354,68404,67094,65182,63083,61041,59241
"3205 SUL",60800,60832,60762,60530,60101,59398,58434,57230,55942,54849,54063,53413,53071,52849,52535,51859,51124,49920,48613,47351,46134
"3206 NORTE",39396,39249,39049,38735,38242,37639,37382,36981,36537,36209,36100,35651,35427,35277,35017,34573,34158,33438,32647,31885,31152
"3207 METROPOLITANA",179373,180373,180893,180880,180157,178659,175928,172483,168895,165886,163965,164811,166690,169107,171081,172130,172222,170814,169069,167428,165926
"3208 CENTRAL",53658,54045,54316,54431,54345,54008,53563,52899,52140,51574,51340,51071,51113,51303,51366,51105,50954,50344,49622,48953,48316
"3312 MACRORREGIAO I",1320807,1315584,1306389,1295255,1285214,1278347,1273889,1270945,1271055,1276330,1287626,1295153,1309442,1324317,1330175,1321309,1297688,1257096,1211741,1171860,1138147
"3518 RRAS9",142337,141827,140775,139244,137277,135071,133659,131924,130340,129497,129881,127997,127079,126582,125702,123928,123110,120917,118183,115693,113764
"3519 RRAS8",203100,203833,203697,202848,201363,199515,197933,195968,194268,193750,194990,193654,193765,194563,194743,193534,191107,186598,181213,176214,172073
"3520 RRAS7",176973,175196,172721,169650,166095,162182,161424,160341,159439,159497,161016,160318,160806,161879,162444,161833,160089,156588,152352,148433,145243
"3521 RRAS6",1005652,1000947,992487,980630,966052,949484,927175,903321,880650,863348,853843,859262,871212,886366,898948,905187,904674,894418,880005,867374,859068
"3522 RRAS5",164809,164367,163315,161705,159631,157230,154807,152131,149669,148148,147977,148315,149793,151820,153402,153910,152877,150191,146815,143748,141398
"3523 RRAS4",85404,85753,85730,85377,84764,83983,83488,82827,82288,82279,83024,84003,85632,87588,89264,90340,89783,88237,86284,84503,83132
"3524 RRAS3",46101,46704,47096,47317,47393,47367,47243,47017,46862,47001,47590,47949,48680,49603,50378,50806,50474,49601,48487,47473,46688
"3525 RRAS2",242637,244788,245957,246239,245783,244804,242921,240549,238551,238057,239724,241436,244997,249470,253165,255141,253096,248279,242316,236862,232584
"3526 RRAS17",205224,205079,204080,202420,200143,197423,195508,193213,191173,190319,191194,189478,189223,189624,189466,187928,186082,182193,177460,173092,169578
"3527 RRAS16",94817,95284,95331,94993,94357,93542,92638,91556,90581,90159,90560,90098,90322,90859,91129,90770,90691,89613,88114,86782,85871
"3528 RRAS15",271238,273407,274424,274370,273571,272111,268430,264230,260402,258215,258370,256189,255987,256725,256685,254903,254106,250509,245750,241459,238353
"3529 RRAS14",125706,125886,125513,124700,123560,122108,120419,118488,116715,115657,115652,114598,114424,114632,114514,113583,113033,111244,108947,106869,105312
"3530 RRAS13",333672,335785,336561,336051,334668,332493,327965,322800,318035,315213,315239,311143,309457,308808,307238,303540,303146,299434,294321,289798,286690
"3531 RRAS12",184773,184501,183408,181720,179494,176874,174184,171088,168159,166278,165869,162555,160446,158903,156852,153718,152408,149405,145727,142357,139673
"3532 RRAS11",67276,66804,66121,65202,64084,62868,62234,61493,60797,60476,60673,59119,57984,57003,55853,54317,53515,52123,50491,48966,47682
"3533 RRAS10",98014,97188,96082,94608,92901,91023,89866,88550,87299,86551,86561,84692,83417,82435,81195,79371,78260,76276,73938,71771,69951
"3534 RRAS1",234514,233639,231884,229310,226112,222452,217662,212501,207636,204051,202317,201276,201773,202986,203610,202797,201627,198273,194005,190147,187236
"4105 MACRORREGIONAL NORTE",175404,174866,173630,171778,169509,167048,165180,163933,163212,162689,162149,161029,159568,157588,155039,151560,148658,144388,139379,134360,130418
"4106 MACRORREGIONAL NOROESTE",158926,159661,159599,158965,157978,156728,155458,154769,154441,154330,154328,152254,150082,147531,144282,140265,137977,134405,130193,125936,122730
"4107 MACRORREGIONAL LESTE",451394,454819,456078,455539,453910,451430,448662,447394,447325,447953,448873,454095,458821,462431,464102,463397,458666,449644,438459,427085,419207
"4108 MACRORREGIAO OESTE",177272,177869,177757,177061,175956,174609,173775,173600,173917,174490,175177,173272,171046,168442,164989,160740,156935,151700,145689,139673,134805
"4210 SUL",83927,84554,84740,84550,84187,83802,83392,82901,82319,81776,81300,80003,78823,77522,75829,73625,71561,68860,66065,63715,62049
"4211 PLANALTO NORTE E NORDESTE",104155,105964,107167,107830,108324,108703,108677,108517,108310,108121,107977,108605,109363,109994,110094,109390,107402,104453,101331,98898,97519
"4212 MEIO OESTE E SERRA CATARINENSE",84591,84276,83514,82418,81155,79820,79718,79582,79346,79117,78897,78288,77759,77081,76007,74364,71755,68476,65124,62224,59974
"4213 GRANDE OESTE",68891,69493,69753,69720,69529,69311,69171,68981,68756,68482,68255,67133,66005,64828,63275,61267,59126,56471,53748,51372,49546
"4214 GRANDE FLORIANOPOLIS",83562,85070,85973,86487,86798,87110,86896,86556,86180,85834,85525,85898,86394,86848,86856,86257,84978,82935,80735,79091,78291
"4215 FOZ DO RIO ITAJAI",39825,41459,42796,43905,44923,45924,46596,47193,47742,48329,48942,49983,51102,52178,53004,53452,52911,51880,50761,49974,49725
"4216 ALTO VALE DO ITAJAI",76791,78526,79710,80533,81155,81764,81814,81674,81544,81423,81372,81330,81438,81438,81089,80173,79125,77384,75495,74105,73533
"4308 VALES",75516,75477,74726,73515,72213,70996,70094,69578,69304,69171,69104,68562,68017,67332,66419,65155,64331,62688,60675,58876,57385
"4309 SUL",94917,94007,92124,89821,87398,85121,84289,83921,83925,84046,84248,84029,83835,83468,82779,81644,80367,78038,75318,72826,70783
"4310 SERRA",86839,89141,90373,90922,91293,91759,90135,88831,87835,87057,86312,87112,87928,88625,89018,88995,89187,88237,86736,85516,84720
"4310 SERRA",117132,116358,114707,112328,109854,107638,106095,105094,104687,104424,104344,102530,100637,98460,95928,92916,90913,87810,84244,80936,78067
"4312 MISSIONEIRA",86100,84656,82638,80191,77617,75293,74212,73630,73353,73220,73195,71339,69291,67175,64754,62025,60212,57668,54796,52117,49735
"4313 METROPOLITANA",416364,417983,415542,410169,404227,398964,392704,388285,385365,383363,381452,385343,389304,392699,394647,394580,391335,383103,372683,363386,356145
"4314 CENTRO-OESTE",101034,99429,97045,94187,91207,88425,87847,87790,88070,88567,89182,88013,86767,85357,83570,81398,79653,76920,73767,70881,68396
"5005 TRES LAGOAS",21979,22225,22360,22430,22494,22585,22481,22420,22386,22327,22226,22335,22423,22449,22422,22321,21938,21445,21035,20742,20549
"5006 DOURADOS",67408,68037,68341,68425,68495,68680,69082,69636,70258,70837,71226,71222,71088,70833,70320,69602,68514,67051,65883,65086,64565
"5007 CORUMBA",12201,12188,12124,12016,11911,11821,11884,11993,12098,12202,12297,12326,12378,12397,12381,12335,12030,11691,11384,11148,10960
"5008 CAMPO GRANDE",118406,119420,119846,119918,119967,120194,120608,121272,122084,122769,123211,123169,122935,122453,121644,120389,118433,115859,113763,112305,111345
"5101 MACRORREGIAO SUL",38097,38800,39349,39815,40214,40604,40795,40969,41144,41347,41550,41545,41570,41613,41513,41362,40929,40327,39791,39527,39669
"5102 MACRORREGIAO OESTE",31211,30958,30575,30112,29619,29063,28915,28784,28668,28549,28458,28018,27603,27164,26639,26045,25556,24967,24433,24057,23925
"5103 MACRORREGIAO NORTE",50866,52844,54654,56290,57861,59417,60237,61020,61812,62620,63446,64046,64704,65312,65914,66207,65350,64218,63246,62679,62758
"5104 MACRORREGIAO LESTE",27729,27754,27679,27543,27335,27125,27355,27583,27814,28068,28316,28314,28338,28347,28270,28122,27768,27311,26909,26682,26728
"5105 MACRORREGIAO CENTRO-NORTE",128592,129228,129423,129249,128891,128431,127951,127503,127076,126675,126338,125787,125324,124829,124055,122894,121126,118878,116894,115666,115625
"5206 MACRORREGIAO SUDOESTE",46634,48050,49414,50652,51793,52829,52385,51829,51276,50862,50622,50942,51407,51900,52215,52244,52272,52258,52221,52141,52181
"5207 MACRORREGIAO NORDESTE",94282,96218,98004,99640,101054,102297,103037,103610,104209,105082,106355,109281,112517,115853,118808,121058,120041,119009,117900,116691,115753
"5208 MACRORREGIAO CENTRO-OESTE",190038,189008,187625,185991,183991,181657,181081,180300,179521,179161,179475,177967,176930,175983,174415,171880,170067,168169,166167,164044,162293
"5209 MACRORREGIAO CENTRO-NORTE",96876,96499,95970,95248,94417,93388,92953,92389,91823,91475,91515,91099,90977,90820,90366,89389,87108,84754,82372,79932,77677
"5210 MACRORREGIAO CENTRO SUDESTE",101373,103637,105769,107721,109422,110885,111137,111185,111237,111555,112277,113347,114732,116167,117217,117612,116578,115489,114298,113075,112075
"5302 MACRORREGI�O DE BRAS�LIA",229516,228788,226786,224017,221268,219111,217628,216923,217407,219592,223786,225482,228069,231111,233880,235892,238610,239882,240211,239854,239513
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",18116805,18213737,18218554,18143353,18007727,17826051,17629466,17446755,17298880,17216275,17214896,17234244,17311442,17398652,17419947,17329989,17151542,16817656,16435966,16075682,15787153
 Fonte:,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
 2000 a 2021 � Estimativas preliminares elaboradas pelo Minist�rio da Sa�de/SVS/DASNT/CGIAE,,,,,,,,,,,,,,,,,,,,,
