"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2910 SUL (NBS - ILHEUS)",211540,200941,192001,184370,177802,172082,170155,168738,167306,165500,163211,159174,154241,149462,144637,140025,136012,132149,128148,124312,120367
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",199128,191937,186016,181228,177446,174467,172072,169949,167945,165473,162369,160098,156799,153469,150193,147104,143242,139593,135847,132220,128501
"2912 OESTE (NBS - BARREIRAS)",101294,98987,97236,96049,95288,94897,94813,94828,94882,94671,94080,92592,90531,88465,86406,84405,83010,81697,80368,79080,77697
"2913 NORTE - (NRS - JUAZEIRO)",113091,110147,107894,106257,105153,104507,104893,105495,106061,106393,106276,105153,103373,101603,99826,98128,96187,94289,92343,90467,88477
"2914 NORDESTE (NRS - ALAGOINHAS)",92153,89945,88310,87206,86538,86289,86390,86692,86960,87036,86734,84649,81992,79388,76757,74213,72121,70129,68098,66104,64048
"2915 LESTE - (NRS - SALVADOR)",387009,383324,381623,382029,384217,387958,385188,382949,380840,377748,372941,370582,365898,361048,356202,351838,348414,345450,342415,339596,336408
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",80996,79294,78016,77149,76637,76438,77257,78174,79091,79828,80200,79400,78122,76830,75510,74292,72892,71555,70186,68857,67452
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",236664,229519,223805,219436,216196,213900,213442,213462,213465,212946,211525,208094,203401,198651,193935,189445,184580,179943,175167,170567,165740
"2918 CENTRO - NORTE (NRS - JACOBINA)",93356,89682,86617,84098,82005,80255,80312,80587,80867,80907,80668,78943,76780,74606,72465,70339,68782,67303,65750,64236,62673
"3101 SUL",234397,231815,229543,227638,226389,225868,225264,225050,224718,223461,220855,216359,209897,202844,195979,189896,185312,181348,177819,174542,171392
"3102 CENTRO SUL",67860,67061,66376,65819,65446,65282,64719,64293,63833,63095,61999,60665,58799,56761,54797,53016,51608,50374,49250,48202,47192
"3103 CENTRO",532798,530557,528575,527439,527616,529402,527193,525662,523835,519911,512752,506233,495203,482784,470830,460807,449823,440405,431983,424214,416814
"3104 JEQUITINHONHA",51916,50080,48386,46817,45404,44158,43903,43783,43627,43334,42795,41373,39572,37665,35777,34039,32465,31008,29618,28269,26946
"3105 OESTE",99335,99047,98849,98754,98900,99324,98916,98644,98278,97531,96129,95360,93742,91829,90033,88581,86709,85117,83725,82467,81258
"3106 LESTE",72225,69989,67954,66016,64250,62772,63284,63952,64568,64951,64955,63097,60670,58073,55507,53135,51345,49752,48256,46824,45442
"3107 SUDESTE",137464,135922,134524,133334,132524,132184,131314,130747,130034,128764,126710,124418,121020,117301,113667,110485,107745,105384,103246,101269,99376
"3108 NORTE",186044,181228,176791,172725,169100,166098,165549,165408,165142,164229,162345,158382,152987,147124,141419,136226,131749,127706,123962,120400,116915
"3109 NOROESTE",64268,63644,63057,62586,62298,62161,61970,61835,61675,61279,60512,59375,57701,55870,54080,52503,50835,49326,47942,46619,45337
"3110 LESTE DO SUL",68907,66799,64856,63102,61518,60126,60157,60298,60455,60335,59856,58585,56796,54803,52875,51154,49415,47837,46369,44969,43602
"3111 NORDESTE",99115,94922,91048,87364,83969,80855,81549,82403,83253,83711,83740,81434,78283,74931,71638,68562,65800,63241,60816,58503,56223
"3112 TRIANGULO DO SUL",56671,56811,56912,57089,57398,57837,57351,56884,56379,55637,54554,54579,54127,53511,52953,52589,52294,52165,52158,52225,52344
"3113 TRIANGULO DO NORTE",99949,99816,99461,99285,99336,99564,98740,97892,96995,95666,93645,93170,91971,90556,89268,88251,87087,86235,85589,85066,84609
"3114 VALE DO ACO",75899,74480,73174,71980,70994,70213,70334,70602,70820,70762,70263,68926,66985,64830,62730,60890,59431,58162,57035,55991,54990
"3205 SUL",62508,61055,59413,57723,56230,55097,54618,54534,54604,54557,54210,53449,52186,50809,49449,48154,46841,45714,44749,43881,43109
