"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2208 MEIO NORTE",105287,105891,105264,103285,100977,99193,96156,93436,91501,89435,86865,83827,81904,80401,79017,78070,77201,76342,76180,76347,75897
"2209 LITORAL",59045,58776,57864,56206,54422,52890,51342,49981,49027,47974,46685,45115,44141,43400,42722,42280,42070,41838,41976,42312,42298
"2210 CERRADOS",52376,52448,51949,50762,49453,48415,46922,45647,44734,43753,42547,41111,40191,39466,38831,38410,38192,37997,38129,38428,38410
"2306 5� MACRO - LITORAL LESTE/JAGUARIBE",41852,40639,39148,37475,35836,34568,33738,33027,32459,32005,31399,30718,30145,29613,29142,28828,28849,28916,29008,29204,29130
"2307 4� MACRO - SERTAO CENTRAL",56134,54255,52027,49575,47169,45257,44205,43291,42581,41997,41252,40493,39874,39312,38818,38524,38718,38976,39274,39696,39754
"2308 3� MACRO - CARIRI",118934,116654,113535,109898,106285,103828,101483,99472,97938,96677,94963,93116,91582,90161,88909,88157,88268,88536,88856,89507,89322
"2309 2� MACRO - SOBRAL",144889,140330,134814,128726,122787,118108,115388,113057,111263,109839,107933,106159,104741,103456,102367,101830,102384,103121,103933,105109,105299
"2310 1� MACRO - FORTALEZA",338054,331005,321427,310237,299137,291115,286420,282630,280240,278777,275963,270771,266490,262543,259073,257115,257703,258762,260045,262277,262038
"2401 MACRORREGIAO II",60850,60434,59645,58771,57942,57620,56998,56314,55696,55270,54353,53180,52438,51766,50852,50362,50225,49738,49268,48940,48363
"2402 MACRORREGIAO I",180808,177582,173187,168647,164343,161428,159845,158043,156446,155443,153073,150390,148968,147731,145746,144996,145181,144308,143418,142994,141801
"2501 MACRORREGIAO III - SERTAO/ALTO SERTAO",71925,71261,70323,69078,67726,66550,65009,63340,61876,60508,58843,57107,55559,53424,51375,50754,51250,52330,53453,53851,53512
"2502 MACRORREGIAO II - CAMPINA GRANDE",86101,85083,83701,81986,80121,78462,76801,74970,73398,71894,70090,68161,66466,64045,61749,61176,61854,63227,64669,65261,64931
"2503 MACRORREGIAO I - JOAO PESSOA",138421,137209,135388,132946,130253,127909,125718,123264,121166,119252,116739,113726,111094,107153,103518,102840,104175,106677,109304,110490,110135
"2605 VALE DO S.FRANCISCO E ARARIPE",79840,80040,79394,78476,77597,76900,75845,75065,74440,73919,73191,72318,71850,71711,71445,71660,72083,71484,70840,70800,70383
"2606 SERTAO",66507,66606,66039,65253,64484,63839,62844,62061,61414,60843,60080,59175,58608,58302,57900,57906,58145,57570,56947,56826,56382
"2607 METROPOLITANA",405654,401334,393215,383935,374861,366518,359152,353077,347745,342918,337055,330367,325575,322304,318532,316896,316767,312296,307544,305535,301869
"2608 AGRESTE",145433,144304,141761,138815,135917,133320,131262,129658,128334,127188,125639,123878,122822,122323,121643,121777,122356,121247,120009,119850,119008
"2703 2� MACRORREGIAO DE SAUDE",103678,102442,100522,98000,94992,92082,89550,86836,84560,82570,80458,78442,76998,75365,74024,73147,72111,70905,69772,69197,68617
"2704 1� MACRORREGIAO DE SAUDE",188339,187668,185665,182435,178194,173982,170042,165729,162282,159333,156113,152039,149025,145659,142881,141003,139132,136883,134792,133768,132795
"2801 MACRO UNICA",171009,168845,164177,159150,154469,150880,148552,147549,146653,145904,144418,141946,140285,138764,137128,136744,136719,135886,135410,135783,135508
"2910 SUL (NBS - ILHEUS)",152584,148770,144170,139566,134996,130620,126123,122043,118014,114253,110633,107683,104974,102314,99529,97102,95701,94285,93404,93145,92373
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",142042,139018,135194,131320,127386,123549,120157,117062,114020,111211,108533,105858,103419,101002,98435,96275,95171,94022,93404,93424,92951
"2912 OESTE (NBS - BARREIRAS)",76534,75747,74420,72983,71456,69921,68625,67463,66317,65298,64306,63518,62830,62122,61292,60733,60562,60368,60552,61124,61340
"2913 NORTE - (NRS - JUAZEIRO)",90124,89216,87711,86124,84463,82822,80931,79201,77516,75965,74466,73172,72031,70859,69573,68563,68158,67734,67701,68119,68155
"2914 NORDESTE (NRS - ALAGOINHAS)",73570,71545,69083,66576,64051,61561,59973,58502,57058,55714,54422,53508,52717,51904,51010,50332,50048,49764,49772,50100,50144
"2915 LESTE - (NRS - SALVADOR)",304853,301800,296525,290933,284981,278958,272639,266752,261052,255889,250842,246611,242857,239033,234756,231558,229598,227600,226983,227884,227516
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",65561,65305,64530,63691,62766,61817,60597,59471,58385,57405,56438,55619,54897,54161,53314,52705,52547,52368,52517,53005,53187
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",178949,175419,170749,165969,161091,156273,152463,148911,145463,142272,139201,136557,134216,131854,129261,127211,126360,125489,125369,126053,126049
"2918 CENTRO - NORTE (NRS - JACOBINA)",69655,68674,67268,65816,64334,62885,61151,59597,58059,56618,55236,54196,53267,52322,51295,50491,50028,49563,49392,49526,49400
"3101 SUL",180551,177268,172402,166994,161688,156957,152258,148107,144327,140805,137457,134732,133502,133068,133037,133837,134816,134716,134649,134890,134317
"3102 CENTRO SUL",50488,49428,47886,46229,44594,43120,41808,40665,39625,38670,37736,36916,36495,36300,36235,36365,36579,36508,36453,36464,36258
"3103 CENTRO",423147,415255,403462,390410,377648,366193,356120,347284,339359,332114,325319,318991,316267,315472,315558,317640,320736,321072,321526,322852,322165
"3104 JEQUITINHONHA",36067,34711,33086,31396,29739,28217,27350,26588,25887,25237,24635,24088,23801,23661,23603,23681,23914,23956,23999,24079,24034
"3105 OESTE",74470,73616,72043,70198,68381,66785,65211,63859,62667,61610,60598,59504,59053,58981,59073,59539,60209,60384,60584,60919,60893
"3106 LESTE",53348,52212,50654,48985,47365,45924,44372,42991,41723,40522,39393,38498,38037,37799,37683,37804,37987,37867,37755,37726,37487
"3107 SUDESTE",103096,101164,98317,95186,92147,89407,86731,84359,82196,80212,78319,76619,75796,75408,75246,75570,76061,75938,75847,75945,75554
"3108 NORTE",134580,131356,127003,122287,117673,113514,110453,107804,105452,103289,101279,99431,98699,98556,98693,99461,100537,100793,101048,101535,101409
"3109 NOROESTE",49274,48237,46760,45146,43554,42121,41058,40137,39325,38578,37894,37153,36838,36737,36741,36981,37402,37497,37616,37816,37773
"3110 LESTE DO SUL",50512,49486,48064,46495,44998,43647,42278,41054,39946,38903,37908,37009,36529,36270,36126,36195,36424,36359,36301,36341,36138
"3111 NORDESTE",69970,68584,66629,64494,62440,60653,58711,57021,55477,54012,52621,51444,50836,50550,50397,50539,50963,50943,50923,50992,50783
"3112 TRIANGULO DO SUL",41316,41608,41467,41144,40785,40570,39793,39158,38619,38157,37738,37204,37085,37196,37406,37866,38288,38406,38537,38759,38742
"3113 TRIANGULO DO NORTE",74897,74620,73567,72251,70944,69852,68220,66876,65691,64655,63671,62519,62042,61891,61963,62438,62906,62826,62828,62968,62705
"3114 VALE DO ACO",57199,56343,54986,53456,51972,50665,49182,47869,46691,45593,44557,43653,43241,43096,43066,43312,43611,43558,43519,43577,43375
"3205 SUL",45370,44680,43587,42413,41260,40145,39193,38401,37729,37133,36619,36312,36378,36456,36586,36976,37404,37497,37470,37456,37273
"3206 NORTE",29465,29201,28668,28085,27506,26957,26410,25964,25609,25302,25062,24967,25133,25300,25504,25902,26316,26501,26584,26706,26682
"3207 METROPOLITANA",129430,129379,128114,126530,125016,123573,121374,119629,118314,117287,116507,116514,117642,118823,120253,122526,124655,125663,126270,126990,127060
"3208 CENTRAL",39022,38922,38450,37890,37351,36824,36263,35833,35540,35333,35198,35219,35584,35963,36415,37129,37840,38203,38451,38730,38812
"3312 MACRORREGIAO I",1041685,1024947,994701,960846,931596,907529,887863,875728,865976,856566,849796,845722,846581,852362,859848,872784,889947,896299,899468,903553,899337
"3518 RRAS9",99466,99327,98098,96389,94835,93737,92097,91003,90314,89689,89033,88598,88864,89399,89891,90544,91480,91777,91697,91647,90948
"3519 RRAS8",154847,153398,150263,146415,142885,140023,137776,136281,135367,134631,133816,133549,134289,135497,136606,137976,139906,140818,141170,141572,140935
"3520 RRAS7",134221,134106,132497,130250,128256,126885,124513,122878,121745,120742,119648,119293,119826,120776,121640,122699,124123,124675,124712,124780,123973
"3521 RRAS6",733262,728885,716464,700816,686737,676113,662452,652632,645540,639169,632353,626981,626296,627786,628839,631080,636445,637342,635618,634162,628179
"3522 RRAS5",128651,127513,124974,121873,119059,116836,114714,113250,112284,111481,110611,110116,110461,111185,111832,112698,113967,114422,114410,114448,113661
"3523 RRAS4",67416,67558,66899,65915,65065,64534,63732,63282,63121,63066,62979,63163,63823,64707,65545,66529,67631,68252,68590,68955,68813
"3524 RRAS3",37375,37302,36803,36116,35510,35073,34696,34502,34464,34488,34492,34651,35064,35599,36116,36716,37435,37885,38179,38487,38508
"3525 RRAS2",202533,201081,197354,192726,188518,185251,182450,180633,179586,178824,177976,177751,178860,180602,182230,184218,187042,188520,189226,190012,189396
"3526 RRAS17",149705,149352,147321,144558,142069,140243,137984,136517,135635,134957,134167,133814,134476,135595,136618,137923,139556,140195,140285,140405,139522
"3527 RRAS16",65988,66432,66099,65398,64808,64520,63871,63589,63595,63689,63731,63781,64316,65065,65780,66616,67641,68181,68442,68726,68501
"3528 RRAS15",187657,187614,185452,182353,179535,177545,175262,173937,173378,173036,172554,172303,173321,174918,176400,178258,180422,181307,181485,181698,180601
"3529 RRAS14",86999,86864,85748,84214,82816,81820,80587,79840,79428,79111,78735,78519,78887,79521,80114,80860,81798,82174,82221,82293,81771
"3530 RRAS13",232250,232352,229825,226135,222775,220453,217623,216049,215433,215059,214537,213919,214866,216542,218106,220094,222711,223789,223972,224200,222824
"3531 RRAS12",119190,119589,118627,117090,115654,114763,112720,111411,110574,109832,109022,108509,108828,109457,110046,110882,111535,111439,110898,110387,109105
"3532 RRAS11",46905,46438,45495,44321,43239,42346,41418,40722,40219,39727,39216,38833,38739,38781,38792,38879,39017,38880,38603,38328,37791
"3533 RRAS10",68102,67589,66358,64815,63382,62241,60835,59779,58984,58243,57442,56941,56886,57002,57087,57272,57536,57387,57041,56688,55945
"3534 RRAS1",165737,164834,162128,158657,155501,153120,150077,147922,146410,145078,143629,142580,142598,143107,143513,144203,145240,145264,144709,144215,142692
"4105 MACRORREGIONAL NORTE",128353,126322,123134,119338,115515,112558,109316,106624,104602,103274,101755,100307,99900,99761,99995,101029,102194,102848,103007,102783,102066
"4106 MACRORREGIONAL NOROESTE",114543,112832,110053,106705,103297,100663,97985,95794,94181,93235,92096,90839,90527,90478,90779,91796,92772,93319,93408,93145,92429
"4107 MACRORREGIONAL LESTE",368127,363344,355026,344873,334494,326781,319221,313192,309156,307235,304796,302208,302611,303885,306325,311238,317445,322089,325084,326932,327152
"4108 MACRORREGIAO OESTE",139799,136651,132257,127222,122165,118045,114773,112050,110093,108859,107432,105965,105588,105540,105868,107045,108336,109132,109377,109237,108565
"4210 SUL",58603,57221,55335,53365,51808,50871,50131,49646,49329,48998,48436,48029,48273,48781,49279,50033,50878,51551,52131,52635,52702
"4211 PLANALTO NORTE E NORDESTE",81037,79610,77443,75177,73467,72666,72025,71745,71714,71680,71321,71200,72004,73239,74456,76058,77901,79473,80906,82229,82805
"4212 MEIO OESTE E SERRA CATARINENSE",68924,66401,63387,60319,57722,55795,54538,53535,52698,51865,50799,50045,49941,50144,50315,50724,51354,51803,52154,52410,52229
"4213 GRANDE OESTE",53426,51365,48904,46390,44249,42617,41817,41220,40746,40305,39678,39254,39343,39669,39968,40475,41110,41604,42012,42338,42323
"4214 GRANDE FLORIANOPOLIS",57854,56684,54945,53160,51761,50989,50710,50667,50816,50973,50899,50899,51541,52512,53478,54717,56172,57409,58571,59624,60153
"4215 FOZ DO RIO ITAJAI",31083,31059,30700,30268,30062,30230,30405,30722,31160,31613,31921,32327,33141,34165,35173,36377,37720,38928,40068,41152,41860
"4216 ALTO VALE DO ITAJAI",55004,54200,52850,51405,50385,49944,49615,49555,49662,49752,49601,49520,50071,50921,51757,52863,54084,55126,56073,56931,57311
"4308 VALES",52521,51979,50772,49259,47871,46710,45228,43949,42886,41891,40843,39954,39789,40110,40556,41264,42020,42473,42581,42556,42204
"4309 SUL",70040,68873,66903,64599,62477,60670,58511,56643,55055,53541,51978,50714,50370,50626,51039,51772,52690,53229,53335,53257,52798
"4310 SERRA",61550,61850,61191,60057,59069,58342,56948,55775,54860,54053,53186,52401,52581,53391,54427,55828,57223,58187,58682,58954,58784
"4310 SERRA",83953,82171,79400,76271,73366,70804,68215,66014,64133,62324,60443,58861,58368,58578,58961,59713,60573,60947,60823,60501,59743
"4312 MISSIONEIRA",60284,58730,56543,54111,51847,49858,47785,46013,44448,42928,41373,40112,39597,39551,39631,39947,40234,40251,39953,39524,38810
"4313 METROPOLITANA",315424,312758,305915,297199,289277,282861,273920,266312,260000,254079,247927,242926,242371,244724,247928,252789,258393,262076,263579,264171,262764
"4314 CENTRO-OESTE",75640,73985,71537,68756,66181,63971,61469,59345,57512,55739,53913,52452,51943,52053,52315,52888,53535,53788,53596,53255,52528
"5005 TRES LAGOAS",17013,16722,16351,16053,15857,15747,15711,15624,15543,15499,15421,15419,15682,15955,16137,16432,16707,16808,16884,16949,16918
"5006 DOURADOS",55468,54766,53794,53079,52696,52581,52567,52395,52234,52191,52010,52000,52829,53692,54254,55194,56154,56545,56820,57054,56973
"5007 CORUMBA",10929,10588,10192,9849,9580,9351,9279,9181,9072,9000,8894,8861,8967,9076,9145,9265,9425,9479,9523,9574,9551
"5008 CAMPO GRANDE",92793,91185,89150,87543,86486,85867,85750,85347,84993,84848,84452,84423,85804,87246,88179,89731,91131,91631,91924,92206,91927
"5101 MACRORREGIAO SUL",30101,30049,29866,29738,29848,30300,30784,31058,31193,31236,30922,30542,30229,30080,30107,30674,31705,32381,32759,32957,32837
"5102 MACRORREGIAO OESTE",24215,23761,23247,22779,22468,22395,22457,22390,22207,21984,21494,21032,20650,20353,20153,20295,20894,21245,21374,21414,21232
"5103 MACRORREGIAO NORTE",47330,46532,45572,44734,44227,44197,45033,45563,45899,46161,45859,45411,45124,45042,45183,46214,48136,49494,50384,51024,51125
"5104 MACRORREGIAO LESTE",23072,22903,22635,22444,22396,22600,22875,23015,23028,23005,22716,22375,22102,21916,21841,22158,23015,23612,23973,24216,24192
"5105 MACRORREGIAO CENTRO-NORTE",97120,96180,94858,93820,93446,94097,95007,95304,95145,94772,93292,91840,90698,90001,89758,91150,94094,95929,96877,97354,96826
"5206 MACRORREGIAO SUDOESTE",35952,36091,36190,36248,36249,36349,36444,36244,36001,35831,35650,35840,36499,37199,37927,38913,39811,40377,40822,41132,41135
"5207 MACRORREGIAO NORDESTE",92890,91374,89800,88185,86538,85083,85171,84653,84032,83575,83131,83672,85285,87035,88791,91190,93969,95875,97445,98744,99281
"5208 MACRORREGIAO CENTRO-OESTE",130085,128519,126860,125144,123302,121746,120501,118331,116034,113956,111869,111512,112615,113875,115168,117259,118966,119679,120012,120007,119090
"5209 MACRORREGIAO CENTRO-NORTE",74790,73405,71998,70536,69040,67710,66739,65267,63717,62290,60865,60554,61013,61555,62126,63091,64072,64493,64722,64749,64305
"5210 MACRORREGIAO CENTRO SUDESTE",82714,82325,81863,81308,80681,80230,80184,79523,78747,78107,77478,77923,79341,80886,82474,84635,86718,88063,89102,89903,89981
"5302 MACRORREGI�O DE BRAS�LIA",168439,170716,171874,172324,172278,172285,171581,171015,170477,170282,169762,163722,159078,155805,154277,155443,158254,160589,162106,163021,162802
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",14088412,13941214,13666598,13352324,13054326,12813169,12593226,12415081,12260635,12116498,11948538,11781215,11699299,11650920,11616050,11663654,11762600,11791228,11806410,11833501,11783906
 Fonte:,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
 2000 a 2021 � Estimativas preliminares elaboradas pelo Minist�rio da Sa�de/SVS/DASNT/CGIAE,,,,,,,,,,,,,,,,,,,,,
