"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"1101 MACRORREGIONAL II (CACOAL)",64464,63841,62618,60930,59125,57389,55338,53602,52227,50930,49595,48409,47474,46867,46499,46517,46890,46899,46894,46850,46538
"1102 MACRORREGIAO I - PORTO VELHO",65049,66045,66295,65938,65405,64926,63505,62383,61655,60999,60281,59666,59330,59378,59783,60706,62136,63042,63922,64808,65279
"1201 MACRO UNICA - AC",70689,72106,73299,74206,74618,75171,75477,75337,75244,75089,73619,71534,70065,68920,67680,68060,68392,67469,66993,66735,66214
"1302 OESTE",58870,58968,58424,57507,56434,55878,55326,55261,55531,56120,56227,55944,55413,55028,54720,55010,55560,55302,54781,54267,53675
"1303 LESTE",55768,56014,55607,54836,53928,53456,53114,53222,53649,54344,54578,54772,54772,54930,55143,55941,57016,57206,57151,57078,56908
"1304 CENTRAL",210991,212161,210758,207918,204505,202806,202097,203070,205313,208761,210347,210589,210070,210209,210665,213393,216419,216171,215050,213783,212197
"1401 MACRO-RORAIMA",38325,38866,38858,38706,38866,38804,38716,39165,39742,40007,40455,41123,41448,41587,41752,42203,42653,43330,44499,45746,47107
"1509 MACRORREGIONAL IV",130219,132157,133345,134323,135340,136421,137805,139239,140425,140968,140604,138578,136445,134126,132085,131718,131819,131376,131337,131760,131831
"1510 MACRORREGIONAL III",124934,124745,123897,122861,121892,121016,120010,119044,117860,116187,113854,111341,108768,106087,103634,102475,101916,100956,100279,99924,99322
"1511 MACRORREGIONAL II",157697,156927,155341,153520,151813,150195,149781,149448,148833,147580,145462,142627,139678,136585,133776,132643,132306,131416,130900,130812,130397
"1512 MACRORREGIONAL I",271480,270057,267184,263899,260774,257837,256312,254900,252975,249990,245504,240021,234388,228506,223140,220527,218931,216436,214523,213354,211639
"1601 MACRO UNICA - AP",59986,61532,62581,63442,63885,63680,63077,62629,62269,62512,63124,63619,63942,63557,63050,63343,63880,64813,65187,64786,64311
"1701 MACRORREGIAO NORTE",53745,53065,52189,51373,50570,49998,49930,49630,49042,48527,47799,46715,46112,45727,45201,45054,45135,44787,44718,44986,45044
"1702 MACRORREGIAO CENTRO-SUL",63854,63225,62299,61496,60695,60140,60290,60139,59603,59188,58480,57170,56444,55983,55343,55186,55187,54676,54517,54810,54821
"2109 MACRORREGIAO SUL",118528,116580,113345,111390,109999,108948,109560,110487,109612,107335,104505,100768,97836,94637,91956,90548,89507,88944,89238,89563,89408
"2110 MACRORREGIAO NORTE",350292,345563,337027,332329,329384,327395,329642,332705,330357,323741,315394,304458,295928,286535,278775,274833,271554,269779,270615,271506,270974
"2111 MACRORREGIAO LESTE",152284,149927,146087,143686,142081,140890,140767,141048,138979,135181,130753,125793,121903,117706,114148,112118,110518,109484,109526,109572,109061
"2207 SEMI-ARIDO",48962,48733,47953,46596,45117,43880,42398,41058,40079,39034,37761,36392,35505,34810,34205,33742,33460,33184,33206,33367,33250
