"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"2910 SUL (NBS - ILHEUS)",36244,35659,34883,34138,33374,32654,31236,29918,28625,27395,26208,25547,25145,24418,23961,24116,23673,23485,23633,23256,22861
"2911 SUDOESTE (NBS - VITORIA CONQUISTA)",32564,32323,31898,31454,31026,30657,29444,28306,27192,26135,25127,24635,24379,23801,23506,23779,23439,23326,23556,23255,22918
"2912 OESTE (NBS - BARREIRAS)",17766,17718,17527,17324,17118,16906,16626,16365,16120,15901,15681,15472,15418,15147,15046,15330,15227,15280,15563,15486,15393
"2913 NORTE - (NRS - JUAZEIRO)",22020,21786,21423,21040,20633,20227,19662,19142,18609,18120,17655,17415,17343,17041,16925,17249,17061,17056,17303,17144,16967
"2914 NORDESTE (NRS - ALAGOINHAS)",17502,16826,16010,15173,14306,13439,13256,13121,12986,12886,12783,12713,12754,12634,12645,12971,12751,12648,12745,12543,12337
"2915 LESTE - (NRS - SALVADOR)",75340,74009,72138,70165,68091,66032,65281,64646,64042,63535,63048,61216,59992,57926,56524,56555,56341,56697,57925,57791,57582
"2916 EXTREMO SUL (NRS - TEIXEIRA FREITAS)",16202,16089,15861,15621,15361,15102,14740,14409,14082,13781,13488,13349,13347,13156,13108,13398,13290,13330,13564,13479,13382
"2917 CENTRO-LESTE (NRS - FEIRA SANTANA)",42891,41856,40534,39153,37740,36324,35412,34594,33802,33087,32371,32069,32071,31643,31565,32272,31829,31698,32039,31645,31227
"2918 CENTRO - NORTE (NRS - JACOBINA)",16597,16489,16284,16059,15844,15637,15112,14623,14131,13670,13219,12963,12837,12546,12387,12542,12365,12307,12435,12282,12108
"3101 SUL",43109,42402,41339,40111,38959,37893,36852,35925,35117,34358,33649,33684,33755,33462,33651,34103,33251,33153,33863,33691,33459
"3102 CENTRO SUL",11570,11435,11189,10927,10672,10442,10128,9834,9571,9316,9090,9097,9122,9045,9083,9215,8976,8923,9099,9040,8965
"3103 CENTRO",105222,102203,98245,93869,89499,85444,83778,82459,81333,80304,79387,79926,80481,80107,80979,82449,80500,80437,82404,82125,81789
"3104 JEQUITINHONHA",8271,7917,7481,7002,6548,6109,5929,5776,5658,5545,5425,5608,5796,5911,6107,6361,6136,6046,6110,6016,5908
"3105 OESTE",17565,17459,17183,16852,16525,16245,15814,15417,15061,14721,14418,14548,14706,14681,14871,15190,14896,14922,15319,15328,15292
"3106 LESTE",12946,12629,12195,11724,11251,10834,10448,10107,9789,9495,9204,9292,9378,9364,9477,9661,9356,9255,9379,9260,9118
"3107 SUDESTE",24328,24001,23425,22808,22177,21644,20982,20429,19911,19405,18946,18971,18988,18802,18898,19140,18668,18625,19041,18932,18818
"3108 NORTE",31355,30699,29746,28712,27704,26789,26014,25351,24752,24198,23673,24143,24622,24803,25377,26130,25381,25218,25673,25443,25168
"3109 NOROESTE",11283,11149,10903,10621,10358,10122,9802,9515,9256,9024,8786,8964,9132,9195,9406,9688,9421,9377,9559,9487,9408
"3110 LESTE DO SUL",12330,12075,11717,11326,10933,10586,10164,9802,9447,9126,8807,8924,9033,9043,9181,9402,9127,9049,9192,9092,8992
"3111 NORDESTE",16804,16506,16082,15646,15195,14798,14118,13481,12883,12342,11795,12077,12371,12512,12837,13269,12821,12670,12821,12639,12418
"3112 TRIANGULO DO SUL",9658,10008,10268,10514,10777,11073,10745,10411,10111,9823,9549,9498,9446,9284,9269,9325,9221,9320,9662,9739,9802
"3113 TRIANGULO DO NORTE",17751,18003,18091,18136,18216,18391,17782,17246,16762,16297,15857,15757,15688,15431,15439,15539,15253,15295,15771,15791,15788
"3114 VALE DO ACO",14065,13820,13442,13029,12620,12253,11900,11603,11328,11078,10842,10862,10886,10782,10856,11002,10730,10694,10932,10880,10801
"3205 SUL",11084,10931,10669,10383,10093,9820,9577,9378,9206,9063,8938,9116,9204,9314,9546,9704,9394,9321,9500,9402,9288
"3206 NORTE",7144,7107,6997,6868,6755,6633,6458,6314,6194,6089,5991,6177,6300,6438,6656,6821,6619,6575,6724,6663,6593
"3207 METROPOLITANA",32943,32817,32400,31894,31418,30957,30500,30150,29907,29725,29605,30070,30299,30578,31236,31674,31017,31084,32090,32100,32082
"3208 CENTRAL",9422,9474,9432,9363,9303,9247,9061,8910,8792,8691,8610,8838,9001,9179,9463,9684,9454,9458,9733,9702,9660
"3312 MACRORREGIAO I",259187,255009,247498,239065,231787,225779,220895,217886,215458,213113,211425,213515,217261,218969,224284,230640,223599,222113,228350,226403,224307
"3518 RRAS9",24102,24318,24244,24067,23969,23966,23415,23006,22668,22380,22055,22251,22498,22477,22613,23096,22741,22399,22588,22460,22315
"3519 RRAS8",37805,37321,36389,35239,34146,33256,32874,32707,32706,32735,32723,33396,34129,34460,35030,36139,35529,34926,35191,34927,34667
"3520 RRAS7",33704,33608,33145,32532,31966,31542,30917,30477,30156,29872,29580,30015,30510,30647,30992,31810,31260,30727,30939,30704,30452
"3521 RRAS6",190790,187850,182939,177104,171468,166565,163360,161142,159620,158289,156868,158168,159855,159671,160559,163965,161199,158497,159732,158635,157477
"3522 RRAS5",33100,32443,31425,30237,29078,28051,27751,27625,27630,27662,27669,28047,28489,28604,28915,29672,29153,28649,28849,28631,28404
"3523 RRAS4",17383,17171,16766,16268,15793,15388,15343,15394,15513,15650,15766,16085,16445,16610,16887,17427,17187,16955,17137,17071,16995
"3524 RRAS3",9401,9271,9022,8721,8437,8197,8194,8249,8341,8440,8532,8768,9026,9182,9387,9749,9622,9501,9612,9583,9551
"3525 RRAS2",51581,50505,48837,46850,44936,43251,42922,42876,43034,43253,43401,44497,45684,46341,47302,48995,48156,47348,47707,47375,47011
"3526 RRAS17",36420,36561,36286,35838,35463,35276,34699,34303,34072,33862,33642,33978,34393,34404,34656,35444,34918,34408,34719,34540,34335
"3527 RRAS16",16044,16312,16396,16419,16477,16626,16390,16242,16153,16079,16004,16199,16428,16471,16617,17037,16878,16715,16963,16968,16964
"3528 RRAS15",45044,45533,45479,45211,45078,45209,44565,44165,43938,43762,43546,43886,44314,44232,44426,45346,44788,44198,44723,44593,44419
"3529 RRAS14",21142,21273,21166,20953,20801,20750,20421,20189,20049,19933,19805,19960,20160,20130,20228,20650,20386,20113,20331,20261,20178
"3530 RRAS13",55408,56324,56577,56608,56814,57323,56189,55343,54710,54182,53614,54058,54645,54615,54930,56109,55437,54742,55386,55235,55054
"3531 RRAS12",27705,28621,29218,29672,30297,31055,30307,29647,29111,28628,28125,27941,27804,27398,27139,27296,26907,26489,26725,26559,26393
"3532 RRAS11",10885,10995,10953,10887,10837,10854,10526,10265,10038,9834,9628,9658,9716,9653,9667,9818,9594,9354,9351,9214,9060
"3533 RRAS10",16257,16358,16275,16121,16017,15985,15556,15236,14961,14705,14454,14450,14468,14331,14287,14469,14180,13883,13913,13767,13590
"3534 RRAS1",41609,41437,40813,40010,39276,38722,37985,37453,37077,36753,36407,36458,36600,36318,36288,36822,36207,35596,35864,35610,35343
"4105 MACRORREGIONAL NORTE",31523,31165,30530,29779,28975,28413,27518,26755,26150,25748,25293,25210,25040,25300,25838,26032,25496,25362,25655,25435,25199
"4106 MACRORREGIONAL NOROESTE",27242,27198,26893,26475,26056,25807,25026,24337,23833,23440,23048,22910,22661,22827,23243,23355,22882,22780,23062,22894,22698
"4107 MACRORREGIONAL LESTE",93940,91941,89094,85705,82221,79426,77759,76451,75661,75377,74933,75845,76428,78363,81231,82958,81675,81707,83183,83013,82794
"4108 MACRORREGIAO OESTE",33060,32566,31779,30828,29876,29145,28367,27749,27285,27003,26677,26693,26585,26935,27599,27875,27270,27081,27353,27102,26807
"4210 SUL",14208,14028,13713,13392,13181,13117,12850,12642,12482,12339,12142,12310,12446,12428,12543,12873,12953,12951,13096,13068,12989
"4211 PLANALTO NORTE E NORDESTE",20550,20168,19606,19027,18593,18367,18154,18007,17942,17880,17732,18242,18726,18959,19401,20152,20352,20421,20740,20760,20753
"4212 MEIO OESTE E SERRA CATARINENSE",17452,16667,15745,14777,13907,13200,12920,12734,12598,12454,12250,12543,12823,12916,13156,13615,13531,13370,13354,13182,12976
"4213 GRANDE OESTE",12839,12351,11709,11071,10499,10057,9933,9865,9848,9807,9710,9935,10153,10219,10414,10785,10762,10664,10710,10621,10493
"4214 GRANDE FLORIANOPOLIS",14428,14102,13630,13130,12746,12519,12521,12583,12671,12760,12788,13133,13464,13615,13917,14443,14647,14756,15047,15109,15170
"4215 FOZ DO RIO ITAJAI",7797,7775,7674,7571,7523,7578,7658,7754,7879,7999,8079,8412,8739,8949,9258,9720,9932,10089,10361,10483,10592
"4216 ALTO VALE DO ITAJAI",13546,13439,13201,12968,12836,12870,12712,12619,12560,12509,12410,12654,12903,12974,13184,13609,13800,13891,14148,14203,14232
"4308 VALES",12259,12260,12108,11874,11683,11567,11122,10750,10416,10099,9781,9944,10188,10311,10468,10739,10676,10450,10447,10373,10291
"4309 SUL",17231,16817,16204,15499,14837,14252,13759,13360,13017,12703,12367,12608,12934,13108,13321,13668,13542,13235,13223,13118,13020
"4310 SERRA",14712,14951,14969,14880,14846,14880,14495,14142,13835,13583,13293,13490,13798,13953,14150,14491,14570,14412,14557,14633,14694
"4310 SERRA",19334,19108,18681,18103,17612,17200,16531,15968,15463,14978,14478,14659,14960,15085,15258,15603,15421,15028,14948,14779,14575
"4312 MISSIONEIRA",13911,13664,13276,12832,12415,12065,11563,11118,10738,10385,10001,10036,10144,10133,10145,10270,10117,9801,9689,9521,9336
"4313 METROPOLITANA",78525,77384,75233,72612,70166,68109,66025,64296,62859,61534,60109,61385,63108,64135,65291,67116,66904,65717,65987,65859,65694
"4314 CENTRO-OESTE",18200,17778,17161,16436,15762,15165,14618,14154,13776,13408,13028,13158,13383,13455,13563,13818,13632,13252,13171,12999,12817
"5005 TRES LAGOAS",4325,4240,4141,4059,4007,3970,3969,3951,3933,3927,3910,3999,4090,4112,4193,4279,4188,4176,4243,4229,4209
"5006 DOURADOS",13938,13824,13637,13544,13511,13547,13434,13283,13158,13043,12892,13263,13597,13732,14043,14373,14118,14070,14309,14250,14195
"5007 CORUMBA",2864,2723,2549,2394,2252,2134,2135,2140,2133,2140,2130,2215,2306,2349,2437,2521,2452,2429,2454,2433,2403
"5008 CAMPO GRANDE",23396,22983,22492,22076,21823,21674,21722,21695,21670,21704,21688,22084,22471,22496,22827,23195,22763,22718,23143,23075,23011
"5101 MACRORREGIAO SUL",7204,7278,7332,7397,7520,7703,7788,7820,7814,7795,7693,7382,7380,7609,7997,8244,7957,7947,8228,8197,8173
"5102 MACRORREGIAO OESTE",5896,5813,5695,5608,5553,5557,5504,5431,5331,5214,5040,4866,4912,5107,5397,5601,5347,5289,5423,5358,5303
"5103 MACRORREGIAO NORTE",11500,11141,10731,10352,10052,9882,10298,10624,10885,11118,11209,10927,11122,11666,12443,13036,12583,12580,13045,13034,13038
"5104 MACRORREGIAO LESTE",5630,5607,5563,5532,5543,5606,5596,5544,5472,5394,5243,5131,5266,5550,5935,6248,6006,5978,6157,6140,6122
"5105 MACRORREGIAO CENTRO-NORTE",23921,23733,23470,23253,23195,23379,23588,23647,23598,23497,23140,22173,22161,22836,23926,24676,23755,23684,24480,24377,24282
"5206 MACRORREGIAO SUDOESTE",8488,8732,8996,9249,9504,9777,9659,9471,9278,9096,8912,9173,9239,9279,9577,9833,9684,9695,10002,10060,10105
"5207 MACRORREGIAO NORDESTE",23598,22782,21952,21084,20189,19334,19540,19587,19593,19658,19707,20976,21798,22541,23919,25173,24615,24523,25178,25192,25207
"5208 MACRORREGIAO CENTRO-OESTE",31620,31352,31073,30771,30448,30190,29941,29466,28953,28491,28040,28464,28300,28052,28606,29007,28356,28180,28872,28814,28716
"5209 MACRORREGIAO CENTRO-NORTE",18193,17828,17435,17030,16609,16238,15962,15569,15169,14794,14414,14892,15062,15179,15708,16186,15661,15435,15651,15492,15285
"5210 MACRORREGIAO CENTRO SUDESTE",19865,19892,19926,19942,19945,19991,19928,19708,19480,19275,19080,19774,20071,20296,21092,21786,21367,21332,21940,21997,22032
"5302 MACRORREGI�O DE BRAS�LIA",41516,42068,42353,42465,42453,42455,42282,42142,42010,41961,41833,41195,40859,41400,42819,43832,43024,42742,43560,43437,43294
"5303 MACRORREGI�O DE SA�DE I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5304 MACRORREGI�O DE SA�DE II",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"5305 MACRORREGI�O DE SA�DE III",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"Total",3425629,3390108,3323447,3246689,3173771,3114844,3061441,3018320,2981164,2946676,2906101,2912550,2921285,2912480,2950188,3009600,2948552,2925538,2977098,2960759,2942335
 Fonte:,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,
 2000 a 2021 � Estimativas preliminares elaboradas pelo Minist�rio da Sa�de/SVS/DASNT/CGIAE,,,,,,,,,,,,,,,,,,,,,
